DATE,VIXCLS
2012-02-01,18.4205
2012-03-01,16.16727273
2012-04-01,17.823
2012-05-01,21.00181818
2012-06-01,21.13095238
2012-07-01,17.5652381
2012-08-01,15.68956522
2012-09-01,15.28473684
2012-10-01,16.27619048
2012-11-01,16.70190476
2012-12-01,17.307
2013-01-01,13.5052381
2013-02-01,14.07263158
2013-03-01,13.0315
2013-04-01,13.96727273
2013-05-01,13.49363636
2013-06-01,17.2715
2013-07-01,13.97454545
2013-08-01,14.21
2013-09-01,14.692
2013-10-01,15.40782609
2013-11-01,12.924
2013-12-01,14.19238095
2014-01-01,14.24095238
2014-02-01,15.47
2014-03-01,14.83666667
2014-04-01,14.19809524
2014-05-01,12.4752381
2014-06-01,11.54142857
2014-07-01,12.29636364
2014-08-01,13.49190476
2014-09-01,13.46666667
2014-10-01,18.05869565
2014-11-01,13.41315789
2014-12-01,16.29227273
2015-01-01,19.1195
2015-02-01,15.90421053
2015-03-01,14.81272727
2015-04-01,13.4947619
2015-05-01,13.3385
2015-06-01,14.33954545
2015-07-01,14.35272727
2015-08-01,19.42809524
2015-09-01,24.37714286
2015-10-01,16.78954545
2015-11-01,16.21
2015-12-01,18.02545455
2016-01-01,23.71789474
2016-02-01,22.517
2016-03-01,15.84909091
2016-04-01,14.30047619
2016-05-01,14.85285714
2016-06-01,17.77454545
2016-07-01,13.1585
2016-08-01,12.39956522
2016-09-01,14.21952381
2016-10-01,14.5852381
2016-11-01,15.23619048
2016-12-01,12.47238095
2017-01-01,11.6085
2017-02-01,11.53052632
2017-03-01,11.89782609
2017-04-01,13.13631579
2017-05-01,10.86227273
2017-06-01,10.51363636
2017-07-01,10.2645
2017-08-01,11.97565217
2017-09-01,10.438
2017-10-01,10.12545455
2017-11-01,10.54047619
2017-12-01,10.2645
2018-01-01,11.06238095
2018-02-01,22.46473684
2018-03-01,19.02380952
2018-04-01,18.26761905
2018-05-01,14.12454545
2018-06-01,13.67809524
2018-07-01,13.14761905
2018-08-01,12.54695652
2018-09-01,12.91052632
2018-10-01,19.35217391
2018-11-01,19.38904762
2018-12-01,24.95315789
2019-01-01,19.57238095
2019-02-01,15.23473684
2019-03-01,14.4852381
2019-04-01,12.94904762
2019-05-01,16.72181818
2019-06-01,15.836
2019-07-01,13.30590909
2019-08-01,18.97909091
2019-09-01,15.559
2019-10-01,15.46652174
2019-11-01,12.5235
2019-12-01,13.75666667
2020-01-01,13.94095238
2020-02-01,19.62894737
2020-03-01,57.73681818
2020-04-01,41.45380952
2020-05-01,30.897
2020-06-01,31.11954545
2020-07-01,26.84045455
2020-08-01,22.88952381
2020-09-01,27.64761905
2020-10-01,29.43863636
2020-11-01,24.9955
2020-12-01,22.37409091
2021-01-01,24.91
2021-02-01,23.14052632
2021-03-01,21.84304348
2021-04-01,17.41619048
2021-05-01,19.7605
2021-06-01,16.95681818
2021-07-01,17.60333333
2021-08-01,17.47272727
2021-09-01,19.8247619
2021-10-01,17.87142857
2021-11-01,18.50047619
2021-12-01,21.35454545
2022-01-01,23.181
2022-02-01,25.74842105
2022-03-01,26.96869565
2022-04-01,24.3735
2022-05-01,29.31363636
2022-06-01,28.23318182
2022-07-01,24.9952381
2022-08-01,22.16956522
2022-09-01,27.34181818
2022-10-01,30.00571429
2022-11-01,23.29909091
2022-12-01,21.78428571
2023-01-01,20.16904762
2023-02-01,20.1205
2023-03-01,21.64434783
2023-04-01,17.81789474
2023-05-01,17.63608696
2023-06-01,14.00318182
2023-07-01,13.93238095
2023-08-01,15.85391304
2023-09-01,15.17333333
2023-10-01,18.88772727
2023-11-01,14.01909091
2023-12-01,12.7185
2024-01-01,13.38863636
2024-02-01,13.98047619
2024-03-01,13.7875
2024-04-01,16.13772727
2024-05-01,13.05869565
2024-06-01,12.667
2024-07-01,14.37391304
2024-08-01,19.31227273
2024-09-01,17.66333333
