date,Price(USD$ / Ounce),BTC_USD$_x,Rolling_Corr_GOLD_BTC,VIX_value,BTC_USD$_y,Rolling_Corr_VIX_BTC
2015-03-12,1153.3,296.05,,15.42,296.05,
2015-03-13,1158.73,284.0,,16.0,284.0,
2015-03-16,1153.84,292.37,,15.61,292.37,
2015-03-17,1148.55,286.74,,15.66,286.74,
2015-03-18,1166.75,258.5,,13.97,258.5,
2015-03-19,1170.9,263.05,,14.07,263.05,
2015-03-20,1182.18,263.31,,13.02,263.31,
2015-03-23,1188.7,267.53,,13.41,267.53,
2015-03-24,1192.73,246.15,,13.62,246.15,
2015-03-25,1195.25,246.88,,15.44,246.88,
2015-03-26,1203.98,249.88,,15.8,249.88,
2015-03-27,1198.8,247.81,,15.07,247.81,
2015-03-30,1185.7,248.78,,14.51,248.78,
2015-03-31,1183.1,245.5,,15.29,245.5,
2015-04-01,1204.0,247.87,,15.11,247.87,
2015-04-02,1201.84,254.39,,14.67,254.39,
2015-04-06,1214.3,256.85,,14.74,256.85,
2015-04-07,1208.2,254.27,,14.78,254.27,
2015-04-08,1202.4,246.58,,13.98,246.58,
2015-04-09,1194.46,244.74,,13.09,244.74,
2015-04-10,1207.65,236.78,,12.58,236.78,
2015-04-13,1198.27,225.73,,13.94,225.73,
2015-04-14,1193.08,221.05,,13.67,221.05,
2015-04-15,1201.3,224.35,,12.84,224.35,
2015-04-16,1197.15,229.45,,12.6,229.45,
2015-04-17,1204.15,223.62,,13.89,223.62,
2015-04-20,1196.1,225.37,,13.3,225.37,
2015-04-21,1202.28,235.89,,13.25,235.89,
2015-04-22,1186.9,233.98,,12.71,233.98,
2015-04-23,1193.6,235.99,,12.48,235.99,
2015-04-24,1178.87,231.51,,12.29,231.51,
2015-04-27,1201.55,227.58,,13.12,227.58,
2015-04-28,1211.6,225.64,,12.41,225.64,
2015-04-29,1204.3,225.6,,13.39,225.6,
2015-04-30,1183.85,236.81,,14.55,236.81,
2015-05-01,1178.1,233.14,,12.7,233.14,
2015-05-04,1187.8,239.75,,12.85,239.75,
2015-05-05,1192.83,236.76,,14.31,236.76,
2015-05-06,1191.3,230.0,,15.15,230.0,
2015-05-07,1184.3,237.99,,15.13,237.99,
2015-05-08,1187.65,244.54,,12.86,244.54,
2015-05-11,1183.7,242.86,,13.85,242.86,
2015-05-12,1193.1,242.03,,13.86,242.03,
2015-05-13,1215.23,236.32,,13.76,236.32,
2015-05-14,1221.12,237.46,,12.74,237.46,
2015-05-15,1223.1,237.82,,12.38,237.82,
2015-05-18,1225.24,234.04,,12.73,234.04,
2015-05-19,1207.34,232.59,,12.85,232.59,
2015-05-20,1209.17,234.54,,12.88,234.54,
2015-05-21,1205.95,235.77,,12.11,235.77,
2015-05-22,1205.88,240.45,,12.13,240.45,
2015-05-26,1186.55,236.79,,14.06,236.79,
2015-05-27,1187.4,237.35,,13.27,237.35,
2015-05-28,1187.7,237.34,,13.31,237.34,
2015-05-29,1189.75,236.89,,13.84,236.89,
2015-06-01,1188.65,223.56,,13.97,223.56,
2015-06-02,1193.34,225.85,,14.24,225.85,
2015-06-03,1184.75,225.86,,13.66,225.86,
2015-06-04,1176.05,224.57,,14.71,224.57,
2015-06-05,1171.25,224.97,,14.21,224.97,
2015-06-08,1173.45,229.1,,15.29,229.1,
2015-06-09,1176.2,229.18,,14.47,229.18,
2015-06-10,1185.98,228.73,,13.22,228.73,
2015-06-11,1181.8,229.69,,12.85,229.69,
2015-06-12,1180.3,229.47,,13.78,229.47,
2015-06-15,1185.9,236.99,,15.39,236.99,
2015-06-16,1181.45,251.91,-0.21350129404518112,14.81,251.91,
2015-06-17,1185.05,250.25,-0.22479793284324723,14.5,250.25,
2015-06-18,1200.92,249.27,-0.22903257041678737,13.19,249.27,
2015-06-19,1199.76,246.33,-0.24526267498853466,13.96,246.33,
2015-06-22,1184.7,247.5,-0.2609615654176236,12.74,247.5,-0.0998964670977788
2015-06-23,1177.94,244.52,-0.27725090045953327,12.11,244.52,-0.09466992211732762
2015-06-24,1174.8,240.04,-0.31984667509114206,13.26,240.04,-0.07053896774333895
2015-06-25,1172.83,242.44,-0.36139019795272503,14.01,242.44,-0.0388903905068685
2015-06-26,1174.58,243.0,-0.37920363309544225,14.02,243.0,-0.0010256248139752224
2015-06-29,1179.95,257.54,-0.3909246787293447,18.85,257.54,0.018105406690406
2015-06-30,1172.2,263.82,-0.40330298996255676,18.23,263.82,-0.02918843468003116
2015-07-01,1168.5,259.02,-0.43522090386430984,16.09,259.02,-0.13099352550947205
2015-07-02,1165.75,254.85,-0.4224650631459461,16.79,254.85,-0.16734457642796183
2015-07-06,1169.65,269.94,-0.398723099077354,17.01,269.94,-0.1760034376520584
2015-07-07,1155.15,266.18,-0.39069003928761814,16.09,266.18,-0.19294845603830332
2015-07-08,1157.85,270.97,-0.3914729902540276,19.66,270.97,-0.03508392920665013
2015-07-09,1159.15,269.75,-0.39280282265358957,19.97,269.75,0.05367705901392518
2015-07-10,1163.56,286.67,-0.4078312507496253,16.83,286.67,0.13330743691830713
2015-07-13,1157.6,293.08,-0.4797801147431913,13.9,293.08,0.15473231514640853
2015-07-14,1155.03,287.51,-0.5473831551099859,13.37,287.51,0.15992753169876797
2015-07-15,1149.25,285.7,-0.5733887157343439,13.23,285.7,0.15215041947750726
2015-07-16,1144.65,279.38,-0.5879924820418813,12.11,279.38,0.13660337839580422
2015-07-17,1133.6,280.58,-0.6076319764792464,11.95,280.58,0.11041386864095558
2015-07-20,1096.55,280.0,-0.6314985887497616,12.25,280.0,0.0836491110884461
2015-07-21,1101.01,277.32,-0.637261962106382,12.22,277.32,0.08403890051514908
2015-07-22,1092.95,277.89,-0.6427851502286897,12.12,277.89,0.08001017100303989
2015-07-23,1090.4,277.39,-0.6367416649344407,12.64,277.39,0.09904762713611844
2015-07-24,1098.35,289.12,-0.6455536455183112,13.74,289.12,0.10681690787556289
2015-07-27,1094.02,294.21,-0.6559369208810041,15.6,294.21,0.1331082393589151
2015-07-28,1094.95,295.76,-0.6661437717921186,13.44,295.76,0.1449589367031843
2015-07-29,1096.31,290.19,-0.673315641265358,12.5,290.19,0.14768760571533457
2015-07-30,1087.49,288.49,-0.678168826043124,12.13,288.49,0.1480853457232114
2015-07-31,1095.4,285.19,-0.6847935242134402,12.12,285.19,0.16492017439323273
2015-08-03,1085.75,280.95,-0.6864029462840533,12.56,280.95,0.17804336739883747
2015-08-04,1087.0,285.51,-0.6929532769949159,13.0,285.51,0.1929156983539794
2015-08-05,1084.65,282.77,-0.6955976618609143,12.51,282.77,0.18956315772267626
2015-08-06,1089.01,279.65,-0.6973747710165195,13.77,279.65,0.18931128380856024
2015-08-07,1093.8,279.94,-0.7005059068899463,13.39,279.94,0.1882190603215585
2015-08-10,1104.11,265.15,-0.6959472173891064,12.23,265.15,0.18822448114195736
2015-08-11,1108.61,271.99,-0.6958057754624678,13.71,271.99,0.19096489448484463
2015-08-12,1124.9,266.94,-0.6946848052805934,13.61,266.94,0.19009054619249674
2015-08-13,1114.65,264.67,-0.6912851350644444,13.49,264.67,0.19088455493516557
2015-08-14,1113.7,266.17,-0.6938467442974426,12.83,266.17,0.1861223718731318
2015-08-17,1117.26,257.31,-0.7031007039675886,13.02,257.31,0.18495340860592419
2015-08-18,1117.61,221.99,-0.6917194711099512,13.79,221.99,0.18500708208606154
2015-08-19,1134.06,227.34,-0.6860405914343722,15.25,227.34,0.17548290929986604
2015-08-20,1152.76,235.56,-0.6927621757541498,19.14,235.56,0.15202860731452403
2015-08-21,1160.65,232.85,-0.6907436068052435,28.03,232.85,0.06896429017818231
2015-08-24,1154.65,211.16,-0.6823659026669915,40.74,211.16,-0.08437077022880786
2015-08-25,1140.25,223.73,-0.6754931351177317,36.02,223.73,-0.13174201663813592
2015-08-26,1125.15,226.81,-0.6639249227271842,30.32,226.81,-0.16042126373320484
2015-08-27,1125.31,225.8,-0.6518855974960213,26.1,225.8,-0.1836829989172226
2015-08-28,1133.56,231.55,-0.6450265933641965,26.05,231.55,-0.20672406293706694
2015-08-31,1134.1,230.75,-0.6395582051430962,28.43,230.75,-0.23241548916246257
2015-09-01,1139.7,228.22,-0.6313385977549928,31.4,228.22,-0.25427673896882746
2015-09-02,1133.65,229.97,-0.6212090027939237,26.09,229.97,-0.2702409007365745
2015-09-03,1124.85,227.25,-0.6081845260252149,25.61,227.25,-0.2880203364029217
2015-09-04,1122.6,231.39,-0.5999122370122485,27.8,231.39,-0.3015147629049431
2015-09-08,1121.4,244.14,-0.5962339086688571,24.9,244.14,-0.2994307116000901
2015-09-09,1105.7,238.75,-0.5859808175228158,26.23,238.75,-0.30061299369246075
2015-09-10,1111.15,238.52,-0.5796378212329669,24.37,238.52,-0.30109503779004226
2015-09-11,1107.5,240.9,-0.5728467821117578,23.2,240.9,-0.3002458228038649
2015-09-14,1108.4,231.01,-0.5592234970188816,24.25,231.01,-0.30724180669831885
2015-09-15,1105.0,230.6,-0.5439770178767621,22.54,230.6,-0.3128019094498754
2015-09-16,1119.15,229.73,-0.5355455091614586,21.35,229.73,-0.3175981969957881
2015-09-17,1131.2,233.34,-0.5350214972179371,21.14,233.34,-0.3210551631511193
2015-09-18,1139.0,233.78,-0.538565996327819,22.28,233.78,-0.3247134327927315
2015-09-21,1133.1,227.31,-0.5409958098665912,20.14,227.31,-0.32868313086285994
2015-09-22,1124.6,231.28,-0.5406947708468165,22.44,231.28,-0.3331173093292555
2015-09-23,1130.0,230.26,-0.5367889195626441,22.13,230.26,-0.3370507007768422
2015-09-24,1153.62,235.27,-0.5371946891624929,23.47,235.27,-0.3392865236754339
2015-09-25,1145.86,235.89,-0.5347549841921551,23.62,235.89,-0.34126899486586454
2015-09-28,1131.65,239.99,-0.5280744085388474,27.63,239.99,-0.340490247505647
2015-09-29,1127.06,236.89,-0.5192360626289256,26.83,236.89,-0.3429152292044567
2015-09-30,1114.6,237.14,-0.5075699428405301,24.5,237.14,-0.34828819330847005
2015-10-01,1113.16,238.34,-0.4978152439587878,22.55,238.34,-0.3551923089134243
2015-10-02,1137.74,238.28,-0.489769586076294,20.94,238.28,-0.3643292256744864
2015-10-05,1135.6,240.95,-0.48321122045552656,19.54,240.95,-0.37332375714605515
2015-10-06,1146.7,246.64,-0.4813406381285895,19.4,246.64,-0.37995582777029696
2015-10-07,1145.0,244.0,-0.47866993674983976,18.4,244.0,-0.3873374975076872
2015-10-08,1138.56,242.94,-0.47580785743509635,17.42,242.94,-0.3952622799350165
2015-10-09,1157.13,244.35,-0.47351604036058487,17.08,244.35,-0.3993319159504789
2015-10-12,1163.6,246.39,-0.4681107079100862,16.17,246.39,-0.40483056963647396
2015-10-13,1168.4,250.99,-0.4599239283621261,17.67,250.99,-0.4097993498846812
2015-10-14,1184.81,253.27,-0.4493204510510888,18.03,253.27,-0.41686635674335454
2015-10-15,1182.7,254.99,-0.4432175726015861,16.05,254.99,-0.4253844481098364
2015-10-16,1176.9,263.43,-0.4343458674469758,15.05,263.43,-0.4373497529864703
2015-10-19,1170.3,265.17,-0.42761468452079243,14.98,265.17,-0.44768873326673353
2015-10-20,1175.7,271.14,-0.4158221832892193,15.75,271.14,-0.45090384297753355
2015-10-21,1166.7,268.77,-0.4053354254214319,16.7,268.77,-0.45722777203001247
2015-10-22,1165.65,275.84,-0.39544148876281193,14.45,275.84,-0.46339902631470314
2015-10-23,1163.86,278.76,-0.3873083388794282,14.46,278.76,-0.46880607207597896
2015-10-26,1162.8,287.1,-0.3758132731952751,15.29,287.1,-0.47255727262109515
2015-10-27,1166.55,295.61,-0.358861397917301,15.43,295.61,-0.4720247528783967
2015-10-28,1155.7,304.09,-0.3418394693588756,14.33,304.09,-0.4736296979368707
2015-10-29,1145.51,316.08,-0.32820918051316555,14.61,316.08,-0.4712082641988932
2015-10-30,1142.0,329.11,-0.3141340255165385,15.07,329.11,-0.4638469920914268
2015-11-02,1133.35,365.21,-0.296399044133459,14.15,365.21,-0.4507544376126244
2015-11-03,1117.21,404.1,-0.29209666487240504,14.54,404.1,-0.42491630838025485
2015-11-04,1107.06,410.0,-0.3025788560576235,15.51,410.0,-0.4014345002276402
2015-11-05,1103.55,387.21,-0.31720608174421805,15.05,387.21,-0.3960448326428242
2015-11-06,1088.26,374.09,-0.3427192885735859,14.33,374.09,-0.39946586419825303
2015-11-09,1091.71,379.53,-0.3630204728389183,16.52,379.53,-0.3925049202619238
2015-11-10,1089.51,337.14,-0.37650981944336986,15.29,337.14,-0.39936720668464615
2015-11-11,1085.76,313.2,-0.3847908591115397,16.06,313.2,-0.40537080162612277
2015-11-12,1084.65,336.49,-0.39794845325508277,18.37,336.49,-0.4011805623272662
2015-11-13,1083.26,338.07,-0.4106552422059507,20.08,338.07,-0.39311861073016063
2015-11-16,1082.46,332.89,-0.4182612452635171,18.16,332.89,-0.39251303681463207
2015-11-17,1069.96,336.49,-0.4290564003441945,18.84,336.49,-0.38928094679826497
2015-11-18,1070.76,335.49,-0.4389699372327939,16.85,335.49,-0.39466897009077867
2015-11-19,1082.0,326.41,-0.44436565462259736,16.99,326.41,-0.39999359805581425
2015-11-20,1077.71,322.39,-0.4496787090789361,15.47,322.39,-0.4100033069906063
2015-11-23,1068.94,323.0,-0.45594839050052693,15.62,323.0,-0.418146089308939
2015-11-24,1075.11,321.0,-0.4601203132416581,15.93,321.0,-0.4269470973574372
2015-11-25,1071.01,328.98,-0.4651974812704133,15.19,328.98,-0.434108063248547
2015-11-27,1058.41,358.19,-0.4873807251760636,15.12,358.19,-0.4413531156474558
2015-11-30,1064.02,376.86,-0.5017297472439567,16.13,376.86,-0.44608186695929214
2015-12-01,1069.11,362.68,-0.5148679393854612,14.67,362.68,-0.4581005710954327
2015-12-02,1053.31,360.0,-0.5300617873252735,15.91,360.0,-0.46531154146550074
2015-12-03,1062.17,361.77,-0.5441406348801756,18.11,361.77,-0.46189042331149516
2015-12-04,1086.61,363.98,-0.5504086763471868,14.81,363.98,-0.46654169916671295
2015-12-07,1069.99,394.73,-0.5617363745803364,15.84,394.73,-0.4656850083168293
2015-12-08,1074.31,418.94,-0.5692971670614478,17.6,418.94,-0.45636907196094656
2015-12-09,1072.81,418.39,-0.5762221747898518,19.61,418.39,-0.4395800131691484
2015-12-10,1071.14,415.68,-0.5837997877919537,19.34,415.68,-0.42858793957909586
2015-12-11,1074.51,452.95,-0.5877635965665012,24.39,452.95,-0.3854097415570782
2015-12-14,1062.6,444.01,-0.601398725892208,22.73,444.01,-0.3580615650687208
2015-12-15,1060.36,464.27,-0.6151652900014241,20.95,464.27,-0.3362265552990476
2015-12-16,1072.56,453.97,-0.6215355428498078,17.86,453.97,-0.3332222931477385
2015-12-17,1051.36,455.5,-0.635359554493909,18.94,455.5,-0.319693433790898
2015-12-18,1065.81,463.17,-0.6429578036920024,20.7,463.17,-0.29913234001513206
2015-12-21,1078.06,436.81,-0.6488796990171593,18.7,436.81,-0.293617740281104
2015-12-22,1071.96,433.92,-0.6545300903440745,16.6,433.92,-0.2954136208070969
2015-12-23,1070.1,442.43,-0.6611362285157468,15.57,442.43,-0.299388163471524
2015-12-24,1075.13,455.74,-0.6652358482025589,15.74,455.74,-0.30347332396406634
2015-12-28,1068.65,421.94,-0.6815431736988126,16.91,421.94,-0.30249240963889423
2015-12-29,1068.61,433.89,-0.6893370605061904,16.08,433.89,-0.30325124315826485
2015-12-30,1060.7,427.95,-0.6972552403745265,17.29,427.95,-0.3023038431605967
2015-12-31,1060.91,430.35,-0.7036677610026393,18.21,430.35,-0.300063015308102
2016-01-04,1074.3,433.85,-0.7137258257462318,20.7,433.85,-0.2917981800638525
2016-01-05,1077.26,433.34,-0.7169627219101693,19.34,433.34,-0.28855637784552485
2016-01-06,1094.3,430.87,-0.7169727001432197,20.59,430.87,-0.28454574839115127
2016-01-07,1109.1,459.07,-0.7091000897908197,24.99,459.07,-0.26299236872888876
2016-01-08,1103.84,454.44,-0.7027643419847265,27.01,454.44,-0.23669657289561638
2016-01-11,1093.86,449.19,-0.70136195485767,24.3,449.19,-0.2227165238241125
2016-01-12,1086.66,434.01,-0.7029844300567588,22.47,434.01,-0.21718046538724184
2016-01-13,1093.11,432.77,-0.7032808081155647,25.22,432.77,-0.20458081669656153
2016-01-14,1077.6,430.03,-0.7087856545344527,23.95,430.03,-0.19419546871408108
2016-01-15,1088.71,357.53,-0.711563817174466,27.02,357.53,-0.18733532346782975
2016-01-19,1086.72,375.27,-0.7216290346279467,26.05,375.27,-0.18077105864922421
2016-01-20,1100.62,418.54,-0.724132454101302,27.59,418.54,-0.1661112869496264
2016-01-21,1101.21,409.38,-0.726614050544284,26.69,409.38,-0.15652494110350376
2016-01-22,1097.91,382.9,-0.7297946776419628,22.34,382.9,-0.1585703866842994
2016-01-25,1107.66,391.4,-0.7303147807057156,24.15,391.4,-0.15780122125998844
2016-01-26,1120.17,391.54,-0.7270765815388294,22.5,391.54,-0.15895315574260516
2016-01-27,1125.19,394.79,-0.7205215506796039,23.11,394.79,-0.1602566490638221
2016-01-28,1114.74,379.61,-0.7190378891882382,22.42,379.61,-0.16305263177839124
2016-01-29,1117.64,378.68,-0.71726355063484,20.2,378.68,-0.16926935271380797
2016-02-01,1128.46,371.33,-0.7137722469260714,19.98,371.33,-0.18011143315128036
2016-02-02,1128.71,372.93,-0.712064046696334,21.98,372.93,-0.18606763915946892
2016-02-03,1142.53,368.87,-0.7037123205135036,21.65,368.87,-0.1938459166486161
2016-02-04,1155.36,387.99,-0.6860706141387218,21.84,387.99,-0.20157625166304746
2016-02-05,1173.29,384.5,-0.6612765754724379,23.38,384.5,-0.2089088574958226
2016-02-08,1190.76,371.14,-0.6322746602286842,26.0,371.14,-0.215929720197704
2016-02-09,1188.46,372.68,-0.608024619362877,26.54,372.68,-0.22703667423193152
2016-02-10,1197.11,378.44,-0.5836733610045118,26.29,378.44,-0.2338856928085704
2016-02-11,1246.51,378.23,-0.539148494261702,28.14,378.23,-0.22865163797486823
2016-02-12,1237.66,382.05,-0.5013440288682351,25.4,382.05,-0.2106940664567572
2016-02-16,1199.96,407.42,-0.44629972099325277,24.11,407.42,-0.16559483003664513
2016-02-17,1208.76,415.2,-0.41741420010507935,22.31,415.2,-0.1293104363708985
2016-02-18,1231.95,421.19,-0.3828511361845667,21.64,421.19,-0.10291967978102567
2016-02-19,1227.81,420.72,-0.35339938846815033,20.53,420.72,-0.08742130172496765
2016-02-22,1208.36,437.55,-0.32843050795924217,19.38,437.55,-0.07454471218334421
2016-02-23,1227.06,419.97,-0.30364018476255983,20.98,419.97,-0.05099588818791465
2016-02-24,1228.96,423.94,-0.28357543422443093,20.72,423.94,-0.016909533803861322
2016-02-25,1234.26,423.54,-0.2627290862239035,19.11,423.54,-0.0003366935140901482
2016-02-26,1222.21,430.85,-0.24562995706067145,19.81,430.85,0.017587490855774875
2016-02-29,1237.76,436.44,-0.22519348206578377,20.55,436.44,0.04519379902927872
2016-03-01,1231.86,433.08,-0.20993351207759342,17.7,433.08,0.05552451482066005
2016-03-02,1239.91,420.39,-0.19386107157289204,17.09,420.39,0.07185070324950814
2016-03-03,1263.31,418.8,-0.17192945321492673,16.7,418.8,0.08218732615237288
2016-03-04,1259.06,407.35,-0.1538454616581437,16.86,407.35,0.09026376746622376
2016-03-07,1267.01,412.21,-0.13634254020147718,17.35,412.21,0.10489132670550137
2016-03-08,1260.71,411.18,-0.1237415969893951,18.67,411.18,0.11595741177731264
2016-03-09,1252.56,412.8,-0.11148713786581965,18.34,412.8,0.12229460261015655
2016-03-10,1271.06,415.98,-0.09071687225666472,18.05,415.98,0.1273273875320513
2016-03-11,1248.06,419.39,-0.07493825253256282,16.5,419.39,0.13445479455621648
2016-03-14,1234.9,415.02,-0.06609725277793405,16.92,415.02,0.13483903861245053
2016-03-15,1232.0,415.41,-0.059419682005513084,16.84,415.41,0.14550906609917214
2016-03-16,1262.7,416.07,-0.05384125640225089,14.99,416.07,0.15237485336724288
2016-03-17,1257.15,418.41,-0.049514455359871395,14.44,418.41,0.16446614579894675
2016-03-18,1254.59,409.65,-0.04142903961699239,14.02,409.65,0.1793554781250153
2016-03-21,1243.29,412.0,-0.03483900302690899,13.79,412.0,0.21511699062058212
2016-03-22,1248.0,416.66,-0.024178821436225968,14.17,416.66,0.2509393231887977
2016-03-23,1219.8,417.53,-0.016394954353855688,14.94,417.53,0.27779391108830537
2016-03-24,1216.19,412.95,-0.011837232001972868,14.74,412.95,0.2957850313841538
2016-03-28,1220.65,423.0,0.01300976791501526,15.24,423.0,0.30585748327339407
2016-03-29,1241.8,416.39,0.028809894252665405,13.82,416.39,0.30719474341610126
2016-03-30,1224.45,412.79,0.04832852259418026,13.56,412.79,0.3083947133117802
2016-03-31,1231.95,416.03,0.06879341667095308,13.95,416.03,0.30583044250567093
2016-04-01,1222.11,417.68,0.08691511719455723,13.1,417.68,0.29679288843854507
2016-04-04,1214.65,419.47,0.10336758338761161,14.12,419.47,0.2883128484803067
2016-04-05,1230.69,422.36,0.12305484709827734,15.42,422.36,0.27725649451871237
2016-04-06,1221.85,421.46,0.14028917681955433,14.09,421.46,0.27194594469241506
2016-04-07,1240.29,421.99,0.15805979880281926,16.16,421.99,0.27300945014298067
2016-04-08,1240.01,419.48,0.17497207017616126,15.36,419.48,0.26214088294117543
2016-04-11,1257.55,423.94,0.1928573745324225,16.26,423.94,0.24639508008932837
2016-04-12,1255.56,427.8,0.21220370955862275,14.85,427.8,0.22625782904325514
2016-04-13,1242.76,425.58,0.2262150509665367,13.84,425.58,0.20852342080552208
2016-04-14,1227.01,426.32,0.2355329246375859,13.72,426.32,0.1958291980481217
2016-04-15,1233.66,430.93,0.2439643580887907,13.62,430.93,0.16819100609665003
2016-04-18,1231.15,430.97,0.24853920797839674,13.35,430.97,0.13910068775325957
2016-04-19,1250.1,437.06,0.2561738415020348,13.24,437.06,0.11265594645480219
2016-04-20,1243.3,442.96,0.2653148038967612,13.28,442.96,0.08538597319929589
2016-04-21,1248.46,452.25,0.27354901355088146,13.95,452.25,0.05146557259983035
2016-04-22,1231.91,448.41,0.2764705367668604,13.22,448.41,0.019439072722211514
2016-04-25,1237.5,466.17,0.28322746933704,14.08,466.17,-0.010638523582054549
2016-04-26,1242.59,470.59,0.286087125942439,13.96,470.59,-0.037094547039773336
2016-04-27,1245.7,445.31,0.2822857215149669,13.77,445.31,-0.04767575193151227
2016-04-28,1266.08,451.68,0.28207876300819956,15.22,451.68,-0.05495860148810408
2016-04-29,1293.36,458.82,0.28552665721047066,15.7,458.82,-0.066336647335913
2016-05-02,1291.21,446.42,0.2834765789923933,14.68,446.42,-0.08221281195173276
2016-05-03,1285.6,452.21,0.27986791629645313,15.6,452.21,-0.09185651982010633
2016-05-04,1279.11,448.68,0.27386573671024,16.05,448.68,-0.11109625022047413
2016-05-05,1277.66,449.98,0.2687677380579656,15.91,449.98,-0.13301885634339153
2016-05-06,1288.3,462.31,0.2657254728279313,14.72,462.31,-0.1450422929220079
2016-05-09,1263.46,464.16,0.25660647761252053,14.57,464.16,-0.15011902322541668
2016-05-10,1266.0,452.78,0.24533318055677902,13.63,452.78,-0.1636573487706563
2016-05-11,1277.31,454.37,0.23380604639879965,14.69,454.37,-0.17187169414214684
2016-05-12,1263.11,456.48,0.2244236503965029,14.41,456.48,-0.19090104111543918
2016-05-13,1273.2,457.98,0.2140501148105934,15.04,457.98,-0.2106091858878752
2016-05-16,1273.46,455.66,0.2087706312728476,14.68,455.66,-0.24258274318852485
2016-05-17,1279.6,454.19,0.19906167464633745,15.57,454.19,-0.2739096936480011
2016-05-18,1257.9,455.56,0.1818584777219343,15.95,455.56,-0.3063201727362709
2016-05-19,1254.1,438.38,0.16095085469521472,16.33,438.38,-0.3421666520054582
2016-05-20,1251.91,445.65,0.14616083852678952,15.2,445.65,-0.3685144640498098
2016-05-23,1248.49,445.67,0.13850497255015592,15.82,445.67,-0.3827811974490749
2016-05-24,1226.5,446.99,0.14001321141445214,14.42,446.99,-0.4123623766719598
2016-05-25,1223.78,451.49,0.14125134564030348,13.9,451.49,-0.43946542852809284
2016-05-26,1219.75,454.97,0.1407013197679635,13.43,454.97,-0.45675309057311997
2016-05-27,1212.15,471.27,0.15859499805211955,13.12,471.27,-0.49410396642449195
2016-05-31,1214.69,531.34,0.18785765753050884,14.19,531.34,-0.5004877576493052
2016-06-01,1212.4,534.84,0.19992338429307385,14.2,534.84,-0.49900183226827916
2016-06-02,1210.49,537.87,0.21402136330720856,13.63,537.87,-0.5008302624347236
2016-06-03,1244.09,571.25,0.24005554622031144,13.47,571.25,-0.49734616311153607
2016-06-06,1244.86,586.77,0.24983021034816677,13.65,586.77,-0.5054947805995984
2016-06-07,1243.39,579.71,0.2584049552678711,14.05,579.71,-0.5072414782650423
2016-06-08,1261.76,583.21,0.2775273232558713,14.08,583.21,-0.5109187921626402
2016-06-09,1268.4,577.46,0.3026929169764006,14.64,577.46,-0.5068781628364954
2016-06-10,1273.8,580.31,0.3283481289817506,17.03,580.31,-0.4905954509725773
2016-06-13,1283.65,706.01,0.3389619720907316,20.97,706.01,-0.3998837881201595
